Harga_Asli,kecamatan,bedroom,bathrooms,jumlah_guest_toilet,list_facilities,lantai,area_digunakan,luas_tanah,latitude,longitude
1000000.0,Sukodono,2,1,0,"Halaman, Listrik, Teras, Air, Tanpa perabotan",1,75,75,-7.419976500000001,112.6839275
2000000.0,Sedati,2,1,0,"Halaman, Listrik, Teras, Air, Tanpa perabotan, Fully fenced",1,72,72,-7.405735399999999,112.7613933
600000000.0,Sukodono,2,1,0,"Garasi, Halaman, Tanpa perabotan, Balkon, Listrik",55,55,35,-7.3914287,112.6988252
500000000.0,Sukodono,2,0,1,"Garasi, Balkon, Berperabot lengkap, AC, Listrik, Deck",40,40,35,-7.4104743,112.7008186
500000000.0,Sedati,2,1,0,"Dapur lengkap, Listrik, Fully fenced, Air, Sebagian perabotan",1,39,90,-7.3788716,112.787289
390000000.0,Sedati,2,1,1,"Garasi, Halaman, Air, Tanpa perabotan, Dapur lengkap, Tangki air, Listrik, Teras",1,36,72,-7.4116156,112.7751727
1000000000.0,Buduran,3,3,0,"Garasi, Tangki air, Air, Tanpa perabotan, AC, Gas alam, Listrik, Fully fenced",2,180,140,-7.44390981,112.7027636
585000000.0,Taman,2,1,1,"Garasi, Pemandangan panorama, Listrik, Teras, Internet, Halaman, Tanpa perabotan, Wifi",1,40,72,-7.37612026,112.63371382
450000000.0,Sedati,2,1,1,"Garasi, Halaman, Tanpa perabotan, Fully fenced, Internet, Listrik, Teras",1,72,72,-7.3717382,112.76373357
500000000.0,Waru,3,1,0,Tanpa perabotan,1,140,134,-7.35691754,112.76493855
499000000.0,Buduran,3,2,0,Sebagian perabotan,1,70,108,-7.436595,112.694927
515000000.0,Sidoarjo,3,1,1,"Garasi, Halaman, Listrik, Fully fenced, Internet, Air, Teras, Wifi",1,90,108,-7.44977187,112.70154957
5000000.0,Gedangan,2,1,0,"Garasi, Tangki air, Listrik, Teras, Halaman, Air, Sebagian perabotan",1,75,75,-7.396154999999999,112.7047843
700000000.0,Sidoarjo,2,1,0,"Air, Tanpa perabotan, Listrik",1,163,163,-7.452051099999999,112.6849812
1100000000.0,Gedangan,2,2,0,"Air, Tanpa perabotan, Listrik",1,120,120,-7.408289399999999,112.7137227
456000000.0,Sukodono,2,1,0,"Air, Tanpa perabotan, Listrik",1,75,75,-7.419976500000001,112.6839275
650000000.0,Sidoarjo,3,1,0,"Air, Listrik",1,120,120,-7.4584767,112.7272666
600000000.0,Wonoayu,3,2,0,"Air, Tanpa perabotan, Listrik",1,150,150,-7.4153401,112.6526416
999000000.0,Waru,0,2,1,Tanpa perabotan,1,54,135,-7.3541506,112.8078629
1200000000.0,Candi,4,3,3,"Garasi, AC, Dapur lengkap, Ruang layanan, Air, Wifi, Internet, Balkon, Halaman, Ruang kantor, Listrik",2,91,90,-7.4578412,112.6839275
407100000.0,Buduran,2,1,1,"Garasi, AC, Dapur lengkap, Dapur terpadu, Pemandangan panorama, Halaman, Tangki air, Lemari pakaian bawaan, Perapian, Air, Rubanah, Teras, Fully fenced, Internet, Balkon, Pemanasan, Jacuzzi, Kabel video, Ruang layanan, Alarm, Gas alam, Ruang kantor, Listrik, Tanpa perabotan, Deck, Wifi",32,32,72,-7.42312285,112.70831075
575000000.0,Sukodono,3,2,2,"Garasi, Kabel video, Tangki air, Sebagian perabotan, Wifi, Pemandangan panorama, Halaman, Air, Fully fenced",1,130,90,-7.4202381,112.6796843
1500000000.0,Gedangan,3,2,0,"Garasi, Balkon, Listrik, Deck, AC, Air, Sebagian perabotan, Fully fenced",2,105,105,-7.3885636,112.732315
800000000.0,Gedangan,3,2,1,"Air, Tanpa perabotan, Listrik",2,136,136,-7.3896762,112.7279598
650000000.0,Buduran,2,1,0,"Air, Tanpa perabotan, Listrik",1,72,72,-7.4116365,112.7572029
525000000.0,Sidoarjo,2,1,1,"Garasi, Halaman, Gas alam, Listrik, Pemandangan panorama, Alarm, Air, Wifi",1,90,112,-7.4431189,112.6767891
600000000.0,Sukodono,3,2,0,"Air, Tanpa perabotan, Listrik",1,150,150,-7.394061,112.6738809
385000000.0,Sukodono,2,1,0,Tanpa perabotan,1,70,91,-7.409469,112.6710278
580000000.0,Sukodono,2,1,0,"Air, Sebagian perabotan, Listrik",1,72,72,-7.3992549,112.6761485
399900000.0,Sidoarjo,2,1,0,Tanpa perabotan,1,50,72,-7.4514112,112.6871692
564900000.0,Gedangan,2,1,1,"Garasi, AC, Dapur lengkap, Dapur terpadu, Pemandangan panorama, Halaman, Tangki air, Lemari pakaian bawaan, Perapian, Air, Rubanah, Teras, Fully fenced, Internet, Balkon, Pemanasan, Jacuzzi, Kabel video, Ruang layanan, Alarm, Gas alam, Ruang kantor, Listrik, Tanpa perabotan, Deck, Wifi",36,36,72,-7.38997397,112.72339716
532000000.0,Sukodono,2,1,1,Tanpa perabotan,1,40,75,-7.4067756,112.6990146
390000000.0,Buduran,2,1,0,Tanpa perabotan,1,36,108,-7.436595,112.694927
585000000.0,Gedangan,2,1,1,"Garasi, Alarm, Tanpa perabotan, Halaman, Perapian, Wifi",1,45,90,-7.3943502,112.7474056
2100000000.0,Buduran,7,4,0,"Air, Tanpa perabotan, Fully fenced, Listrik, Teras",3,200,200,-7.4355145,112.6987914
900000000.0,Waru,5,2,0,"Air, Tanpa perabotan, Listrik",2,135,135,-7.3642821,112.7700822
1100000000.0,Gedangan,2,2,0,"Air, Tanpa perabotan, Listrik",1,120,120,-7.4039631,112.7176157
580000000.0,Gedangan,2,1,1,"Garasi, AC, Air, Sebagian perabotan, Internet, Halaman, Listrik, Wifi",1,40,90,-7.3896762,112.7279598
860000000.0,Waru,2,2,0,Tidak Ada,1,90,112,-7.3668153,112.7658126
333000000.0,Sidoarjo,3,2,2,"Garasi, Halaman, Sebagian perabotan, Wifi, Balkon, Listrik, Fully fenced",1,72,72,-7.4506261,112.7315252
640000000.0,Sukodono,2,1,0,Tanpa perabotan,1,36,90,-7.3917448,112.7010238
365000000.0,Gedangan,3,2,1,"Garasi, Fully fenced, Balkon",2,60,60,-7.3896762,112.7279598
380000000.0,Krian,2,1,1,"Garasi, Listrik, Air, Teras",1,36,78,-7.3970707,112.601646
560000000.0,Sidoarjo,2,1,1,"Garasi, Air, Halaman, Tanpa perabotan",1,110,135,-7.4540491,112.7066448
