Harga_Asli,kecamatan,bedroom,bathrooms,jumlah_guest_toilet,list_facilities,list_buildings,lantai,area_digunakan,luas_tanah,latitude,longitude,dist_SD,dist_SMP,dist_SMA_SMK,dist_Universitas,dist_Fasilitas_Kesehatan,dist_Mall,dist_Supermarket,dist_Minimarket,dist_Stasiun,dist_Terminal,dist_Bandara,dist_Halte,dist_Entry_Exit_Tol
545000000,Buduran,2,1,1,"Garasi, Halaman, Air, Tanpa perabotan, Fully fenced, AC, Tangki air, Listrik, Teras, Wifi","Keamanan, Area anak-anak, Panggang, Lapangan tenis, Kolam renang, Taman, Rumah jaga, Keamanan 24 jam",1,40,35,-7.425129,112.7230909,1.9103003698000902,1.3979537096236054,1.1061051005356428,1.0526762945523878,2.292918065434631,2.740648466165926,2.107458689324181,1.941617938784703,5.114345547745976,5.4945153920255425,8.711963206887251,4.531137011819095,22.156650809373637
480000000,Candi,2,1,1,"Air, Fully fenced, Tanpa perabotan","Area anak-anak, Keamanan 24 jam, Taman",1,55,35,-7.48435287,112.7481855,2.218070588123492,4.604949206628482,4.768808771584991,5.5686631622539915,3.9419420157221157,7.349937156755798,4.387985636504669,2.2796428688924713,6.699407962906364,5.476858604313193,16.747466743077077,6.772249983115541,16.08871074824235
375000000,Krian,2,1,1,"Dapur terpadu, Air, Fully fenced, Halaman, Teras","Taman, Keamanan 24 jam, Rumah jaga",1,72,36,-7.4035807,112.5985785,5.541533957827291,3.202466190198811,3.0738742253802402,13.270503070019576,3.226958794151089,13.44270902445857,13.023999907096908,2.0282705849483977,2.405675970005409,2.453629933706109,21.56767789340679,2.360254247554201,27.30161890479314
260000000,Sukodono,2,1,0,"Garasi, Kabel video, Air, Tanpa perabotan, Wifi, Internet, Halaman, Listrik, Teras",Gym,1,90,36,-7.3981,112.6737,0.5130688465909187,2.5485495632211452,3.5805633415061044,6.4270507620489505,0.7587519376321743,7.974256316607982,4.854435117849217,1.0259379194400882,7.42717405459242,8.795582540282396,12.421000390193388,7.42717405459242,20.433173535018025
850000000,Taman,3,2,0,"Garasi, Tangki air, Wifi, AC, Air",Keamanan 24 jam,2,90,36,-7.34441775,112.7070323,,,,,,,,,,,,,
425000000,Sedati,2,1,0,"Halaman, Listrik, Air, Tanpa perabotan",Tidak Ada,1,90,36,-7.40573552,112.7613933,2.5065411140907705,5.029552198919072,1.2356790443970957,4.461970855121569,2.912570849346763,7.408849670742178,4.701728814821947,2.9293841300495416,5.511152092956382,4.563461083065851,3.7937857227930625,5.511152092956382,12.058738844974425
305000000,Gedangan,2,1,0,Tanpa perabotan,Tidak Ada,1,90,36,-7.3896762,112.7279598,0.15876730662380215,1.7772577553113862,1.211822739958879,4.456698371394396,0.27487645045464526,2.688814549740123,0.9275869930203207,0.20877442287634204,0.08462472979404548,5.011209210286206,4.714349382883914,0.08462472979404548,
450000000,Gedangan,2,1,1,"Balkon, Lemari pakaian bawaan, Tanpa perabotan, Alarm, Perapian","Cctv, Area anak-anak, Taman, Rumah jaga, Gym, Pustaka, Pramutamu, Akses bagi penyandang disabilitas",1,40,40,-7.3896762,112.7279598,0.15876730662380215,1.7772577553113862,1.211822739958879,4.456698371394396,0.27487645045464526,2.688814549740123,0.9275869930203207,0.20877442287634204,0.08462472979404548,5.011209210286206,4.714349382883914,0.08462472979404548,
760000000,Gedangan,2,2,2,"Garasi, Dapur terpadu, Halaman, Listrik, AC, Pemandangan panorama, Air, Tanpa perabotan","Keamanan, Area anak-anak, Rumah jaga, Cctv, Taman, Keamanan 24 jam",1,40,40,-7.396155,112.7047843,1.9097844016213974,1.1001963510475505,3.5444255731492826,5.5492745332571545,2.0764883187276926,5.42182590431889,0.9446363954025069,0.5843305974589584,2.856397346350187,6.898036834185541,7.486121999440056,2.856397346350187,20.21671946709453
399000000,Buduran,2,1,1,"Internet, Halaman, Listrik, Teras, Wifi, AC, Air, Tanpa perabotan, Fully fenced","Keamanan, Taman, Rumah jaga, Keamanan 24 jam, Area anak-anak, Panggang, Lapangan tenis",1,40,40,-7.4193666,112.7658623,3.9091362984048392,7.419714836003202,4.031839176534672,7.258130987259149,5.70873098148434,9.081723396288819,6.677534066317509,3.554817723887316,7.59910816737102,7.3596212152034255,7.3596212152034255,7.59910816737102,11.53567315133959
700000000,Sukodono,3,1,1,Tanpa perabotan,Tidak Ada,1,90,45,-7.394061,112.6738809,0.841154992744694,2.8766357093749213,3.90864948765988,5.892745571598778,0.28135023959614064,8.302342462761755,3.9226349198224835,1.3540240655938636,6.782730801011997,8.261277349832222,11.88669519974322,6.612823097413383,19.898868344567852
758000000,Gedangan,2,2,2,"Garasi, AC, Pemandangan panorama, Air, Tanpa perabotan, Internet, Dapur terpadu, Halaman, Listrik","Keamanan, Gym, Taman, Keamanan 24 jam, Cctv, Area anak-anak, Rumah jaga",1,22,48,-7.3896762,112.7279598,0.15876730662380215,1.7772577553113862,1.211822739958879,4.456698371394396,0.27487645045464526,2.688814549740123,0.9275869930203207,0.20877442287634204,0.08462472979404548,5.011209210286206,4.714349382883914,0.08462472979404548,
800000000,Sukodono,4,2,0,"Air, Tanpa perabotan, Listrik, Teras",Tidak Ada,2,48,48,-7.3752179,112.6913732,2.792200471391141,4.1179228768239895,3.695576857197299,3.997278708158452,2.311731210518365,5.521621964537341,0.3887267904932876,1.5087467768540705,4.336647998655048,5.115982852885003,9.385448864386069,4.166740295056433,22.993021532731348
685000000,Waru,2,1,1,"Tanpa perabotan, Fully fenced","Keamanan, Area anak-anak, Rumah jaga, Kolam renang, Taman",1,36,50,-7.3564458,112.8066612,4.054281082866405,7.319414951631727,7.53587225547239,2.024079323803127,4.45418414601885,12.084799228122609,6.208011751105512,4.417006312247612,10.605861924610705,6.890853885543884,0.3057223093644537,10.58700277402906,4.450679549112829
1880000000,Sedati,4,3,3,Tanpa perabotan,"Keamanan, Kolam renang, Taman, Gym, Area anak-anak",2,36,50,-7.36768,112.7751655,2.7850835372681075,3.1125173421448276,3.05368438550689,4.807184986718527,2.7416691596487306,6.2752229593111695,2.142655464380338,2.159703615118863,6.947392344942737,4.4326505957772575,4.4326505957772575,6.947392344942737,3.1448964430054818
1970000000,Tanggulangin,3,2,2,"Garasi, Pemanasan, Tangki air, Listrik, AC, Halaman, Gas alam, Tanpa perabotan",Taman,1,36,50,-7.49958,112.69992,1.9426344718269661,2.126644491514655,5.456488540574383,2.5437937175209524,5.343235498259415,7.338986095404178,6.191868166225016,0.3717917027889665,2.095439948876127,5.465907542961573,19.215538577950873,2.00892732767389,15.223864309889654
